# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c85785ad864f
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
123877d44af1ce20,memcpyHtoD,96979,97486.2,,,,,,,,,,,0,0,98447360,0
123877d451a10f40,memset32,1455.55,15.799,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877d451b751a0,memset32,1459.01,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877d451cda160,memset32,1458.05,2.194,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877d451e68a60,_Z13pre_calculatePfjS_S_S_Pijjj10vcd_paramsi,29536.7,14.043,0.667,189,252,1,16,16,1,4608,80,16,0,-1,,0,1357512,47632,11824668,181328,5954,0,428688,0,1143168,381056,762112,0,0
