# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12587cfe3d830c41
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
125a3923fc292340,memset32,125.952,3.473,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,277000496,40370552,0,0,0,277000496,40370552,0,0,0,0,0,0,7836,0,0,1339,0,15870,0,0,0,0,0,151983,0,151092,0,7812,8088,258816,0,3196434,87288,0,0,468768,4267,468768,0,0,4842048,4199,468768
125a3923fc2b1620,memset32,125.888,3.317,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,277000496,40370552,0,0,0,277000496,40370552,0,0,0,0,0,0,7832,0,0,1332,0,15860,0,0,0,0,0,151621,0,150506,0,7790,7998,255936,0,3176951,87257,0,0,468768,4247,468768,0,0,4839648,4251,468768
125a3923fc2d0d80,_Z16separate_input_kPfS_S_S_jPKfjji10vcd_params,1567.52,5.359,1,73,193,1,32,16,1,6144,0,12,0,-1,,0,0,0,14248080,0,0,0,0,14248080,0,0,0,0,29840,30016,30104,29944,942,0,105536,0,0,176,0,0,1860596,29856,1859904,0,30056,15008,480256,0,50361426,1097323,1788720,0,1782552,1836730,1782552,0,0,59192880,1840762,1782552
125a3923fc5a7040,memset32,126.912,5.581,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0,0,19906560,0,0,0,0,7077888,0,0,0,0,0,7806,0,0,1340,0,15812,0,0,0,0,0,151929,0,150718,0,7810,8028,256896,0,3196620,87404,0,0,468768,3264,468768,0,0,4843392,4296,468768
125a3923fc5c65c0,memset32,126.048,3.638,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,0,0,0,7786,0,0,1343,0,15916,0,0,0,0,0,152030,0,151476,0,7836,8058,257856,0,3155215,87444,0,0,468768,4178,468768,0,0,4847168,4199,468768
125a3923fc5e5e00,_Z22interpolate_g_dg_pos_kPfjS_S_S_S_jPKfS1_S1_jS1_S1_jPKiji10vcd_params26smeminfo_interpolate_g_posii,20756.8,5.365,0.667,72,192,1,32,16,1,18432,0,29,0,-1,,0,0,0,33880320,0,0,0,0,17694720,0,0,0,0,132640,58880,0,132896,922,0,2979824,0,0,236032,0,16907,21294690,131319,21267408,0,59008,14752,472064,0,463309162,14542190,7707916,0,3538944,4476342,3538944,0,0,588158676,4479050,3538944
125a3923fd9c64a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1363.58,5.539,0.333,1,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,4704,0,0,0,0,512,0,0,2909,3222,248,16,1426,295,1,3003,14616,117,2890,160,692,98,170001,188,168830,0,32,16,512,0,15277857,954799,1296,0,640,47110,640,0,0,2472740,47054,640
125a3923fdb1a080,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1351.58,4.246,0.667,2,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,9408,0,0,0,0,1024,0,0,2909,3222,248,16,1426,295,1,2986,14616,133,2912,160,672,37,169191,249,168830,0,32,16,512,0,15133810,946062,2856,0,1500,41453,1512,0,0,2472740,37777,1512
125a3923fdc6a760,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1351.68,4.023,0.667,3,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,14112,0,0,0,0,1536,0,0,2909,3222,248,16,1426,295,1,2993,14616,127,2915,160,666,38,169188,248,168830,0,32,16,512,0,15134961,946324,4416,0,2352,46272,2324,0,0,2472740,46524,2324
125a3923fddbad80,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.6,4.114,0.667,4,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,18816,0,0,0,0,2048,0,0,2909,3222,248,16,1426,295,1,2986,14616,120,2906,160,676,38,169182,248,168830,0,32,16,512,0,15132814,945943,5916,0,3172,42717,3164,0,0,2472740,46796,3164
