# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c85785f3e717
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
123877e26ab2e4c0,memcpyHtoD,98009.9,98557.5,,,,,,,,,,,0,0,98447360,0
123877e271653a60,memset32,1456.1,10.971,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877e2717b7ec0,memset32,1458.5,3.072,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877e27191ccc0,memset32,1457.89,2.194,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877e271ab3e60,_Z13pre_calculatePfjS_S_S_Pijjj10vcd_paramsi,83628,8.777,0.667,189,252,1,16,16,1,4608,80,16,0,-1,,0,4504599,49319,35792007,239597,5954,0,428688,0,1143168,1143168,4191616,0,0
