# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c855b2c18e40
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
12383aa166987d00,memcpyHtoD,86110.5,86486.4,,,,,,,,,,,0,0,98447360,0
12383aa16c96e600,memset32,1456.1,24.137,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12383aa16cad2ae0,memset32,1458.98,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12383aa16cc37ac0,memset32,1458.5,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12383aa16cd9c8a0,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,26350.7,3.511,0.333,189,252,1,16,16,1,4608,64,25,0,-1,,0,1286064,47632,8883393,71440,5954,0,428688,0,381056,0,0,0,0
