# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c85543a9b0d9
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
123828f994509320,memcpyHtoD,87475.7,88190.9,,,,,,,,,,,0,0,98447360,0
123828f99a62f1e0,memset32,1456.29,10.532,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123828f99a793720,memset32,1458.02,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123828f99a8f8340,memset32,1458.14,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123828f99aa5cfe0,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,27384.9,3.511,0.333,189,252,1,16,16,1,4608,64,24,0,-1,,0,1286064,47632,8883386,1008551,5954,0,428688,0,1143168,0,0,0,0
