# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c855b7996098
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
12383b9908834460,memcpyHtoD,88257.3,88744.3,,,,,,,,,,,0,0,98447360,0
12383b990ea669e0,memset32,1456.16,11.41,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12383b990ebcaea0,memset32,1458.91,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12383b990ed2fe40,memset32,1457.92,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12383b990ee94a00,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,24207.6,3.072,0.333,189,252,1,16,16,1,4608,64,22,0,-1,,0,1286064,47632,8383253,83355,5954,0,428688,0,0,0,0,0,0
