# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c85542828e5d
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
123828be2e853b00,memcpyHtoD,88461.7,88882.1,,,,,,,,,,,0,0,98447360,0
123828be35e56180,memset32,1455.58,15.36,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123828be35fba420,memset32,1458.18,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123828be3611f0c0,memset32,1458.43,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123828be36283ee0,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,25004.5,3.072,0.333,189,252,1,16,16,1,4608,64,24,0,-1,,0,1286064,47632,8407067,364280,5954,0,428688,0,381056,0,0,0,0
