# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 123abb91da19f3e5
# CUDA_DEVICE 0 GeForce GTX 470
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2 write misses,dram reads,dram writes
123e5ae65bd9f060,memset32_aligned1D,400.832,28.087,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,96075972,226007896,0,0,0,93126852,231119704,0,0,0,0,0,0,24630,0,0,4166,0,1569025,6835,1568859
123e5ae65be01640,memset32_aligned1D,403.904,4.389,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,96075972,226007896,0,0,0,93126852,231119704,0,0,0,0,0,0,24816,0,0,4173,0,1570746,6847,1570584
123e5ae65be646e0,memset32_aligned1D,404.16,3.511,1,65534,1,1,192,1,1,0,0,3,0,-1,,0,96075972,226007896,0,0,0,93126852,231119704,0,0,0,0,0,0,25602,0,0,4235,0,1570070,6827,1569917
123e5ae65bec7860,memset32_aligned1D,378.912,3.072,1,61462,1,1,192,1,1,0,0,3,0,-1,,0,96075972,226007896,0,0,0,93126852,231119704,0,0,0,0,0,0,23574,0,0,3973,0,1472023,6419,1471877
123e5ae65bf486c0,_Z13convert_inputPfjPA4_tjji10vcd_params,2865.18,15.799,1,190,380,1,16,16,1,2048,0,13,0,-1,,0,0,0,24684800,0,0,0,0,12354560,0,0,0,0,54808,27432,68832,96360,5157,0,1544320,3695545,1544320
123e5ae65d3e26e0,memset32,512.064,12.727,1,16,4064,1,192,1,1,0,0,4,0,-1,,0,96075972,226007896,0,0,0,93126852,231119704,0,0,0,0,0,0,27816,0,0,4636,0,1548384,8636,1548384
123e5ae65d45fe00,memset32,507.04,3.511,1,16,4064,1,192,1,1,0,0,4,0,-1,,0,96075972,226007896,0,0,0,93126852,231119704,0,0,0,0,0,0,27918,0,0,4642,0,1548384,8171,1548384
123e5ae65d4dc160,memset32,505.28,3.511,1,16,4064,1,192,1,1,0,0,4,0,-1,,0,96075972,226007896,0,0,0,93126852,231119704,0,0,0,0,0,0,27876,0,0,4648,0,1548384,8432,1548384
123e5ae65d57ebc0,_Z13pre_calculatePfjS_S_S_Pijjj10vcd_paramsi,11354.2,19.309,0.833,191,254,1,16,16,1,8192,0,23,0,-1,,0,0,0,30918912,0,0,0,0,37258752,0,0,0,0,82944,83232,332736,165204,3466,0,4657344,2690448,4657344
