# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c855a62acba8
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
1238381c82c4e140,memcpyHtoD,96885.5,97385.3,,,,,,,,,,,0,0,98447360,0
1238381c897860a0,memset32,1456.93,61.439,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
1238381c898ea880,memset32,1458.98,4.389,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
1238381c89a4f820,memset32,1458.27,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
1238381c89bb4540,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,25404.3,3.95,0.333,189,252,1,16,16,1,4608,64,24,0,-1,,0,1286064,47632,8549969,376624,5954,0,428688,0,381056,0,0,0,0
