# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c853cd913d81
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
1237dcb5c2ddcc60,memcpyHtoD,88511.4,88848.3,,,,,,,,,,,0,0,98447360,0
1237dcb5c9010820,memset32,1458.72,14.043,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237dcb5c9175700,memset32,1461.38,2.633,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237dcb5c92db020,memset32,1460.64,2.194,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237dcb5c9440660,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,364,3.072,1,189,252,1,16,16,1,3840,60,0,0,-1,,0,0,0,23840,0,5954,0,0,0,0,0,0,0,0
