# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 123abb8f534ca807
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,sm_cta_launched,branch,divergent_branch
123de245747c9900,memset32_aligned1D,562.528,17.115,1,65534,1,1,96,1,1,0,40,2,0,-1,,0,0,0,4096,12288,0
123de24574853b00,memset32_aligned1D,565.216,2.194,1,65534,1,1,96,1,1,0,40,2,0,-1,,0,0,0,4096,12288,0
123de245748de7a0,memset32_aligned1D,565.312,1.755,1,65534,1,1,96,1,1,0,40,2,0,-1,,0,0,0,4096,12288,0
123de245749694c0,memset32_aligned1D,565.248,1.755,1,65534,1,1,96,1,1,0,40,2,0,-1,,0,0,0,4096,12288,0
123de245749f41a0,memset32_aligned1D,565.184,1.755,1,65534,1,1,96,1,1,0,40,2,0,-1,,0,0,0,4096,12288,0
123de24574a7ee00,memset32_aligned1D,565.248,1.755,1,65534,1,1,96,1,1,0,40,2,0,-1,,0,0,0,4096,12288,0
123de24574b09ac0,memset32_aligned1D,565.312,1.755,1,65534,1,1,96,1,1,0,40,2,0,-1,,0,0,0,4096,12288,0
123de24574b947e0,memset32_aligned1D,481.312,1.317,1,55698,1,1,96,1,1,0,40,2,0,-1,,0,0,0,3482,10446,0
123de24574c3e600,_Z13convert_inputPfjPA4_tjji15transfer_params10vcd_params,13244,8.777,0.667,190,380,1,16,16,1,2048,96,14,0,-1,,0,0,0,4513,324936,0
