# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c853dd27be93
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
1237dfd82fffbac0,memcpyHtoD,88227.6,88798.3,,,,,,,,,,,0,0,98447360,0
1237dfd8361e9940,memset32,1459.17,13.166,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237dfd83634e9e0,memset32,1461.6,2.633,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237dfd8364b43e0,memset32,1461.5,2.194,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237dfd836619da0,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,22468.6,3.072,0.333,189,252,1,16,16,1,3840,64,19,0,-1,,0,1196888,77536,7371202,0,5954,0,357240,0,0,0,0,0,0
