# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c8556eb9b94a
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
12382d0608b22780,memcpyHtoD,86718.8,87078.9,,,,,,,,,,,0,0,98447360,0
12382d060ebd70a0,memset32,1455.94,13.166,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12382d060ed3b4c0,memset32,1457.57,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12382d060ee9ff00,memset32,1457.76,2.194,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12382d060f004a20,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,27400.7,3.072,0.333,189,252,1,16,16,1,4608,64,24,0,-1,,0,1286064,47632,8883385,1008956,5954,0,428688,0,1143168,0,0,0,0
12382d0610a6ac80,_Z11calculate_ePfjS_jj10vcd_paramsi,22299.4,16.237,0.333,189,252,1,16,16,1,4608,64,20,0,-1,,0,1166984,47632,7609234,0,5954,0,428688,0,0,0,0,0,0
