# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c853e5cc3510
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
1237e1965f8b2680,memcpyHtoD,96057.7,96511.5,,,,,,,,,,,0,0,98447360,0
1237e19666236820,memset32,1458.08,14.482,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237e1966639b480,memset32,1461.28,2.633,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237e19666500d20,memset32,1460.96,2.633,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,16192,0,0,0,388608,0,0,0,0
1237e196666664e0,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,21727.4,3.511,0.333,189,252,1,16,16,1,3840,64,19,0,-1,,0,1166984,47632,7207339,0,5954,0,321516,0,0,0,0,0,0
