# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c857840b6db9
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
1238778053887220,memcpyHtoD,102208,102743,,,,,,,,,,,0,0,98447360,0
123877805a8941c0,memset32,1456.32,18.432,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877805a9f8740,memset32,1457.98,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877805ab5d400,memset32,1458.14,2.194,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
123877805acfca80,_Z13pre_calculatePfjS_S_S_Pijjj10vcd_paramsi,84122.2,13.604,0.667,189,252,1,16,16,1,4608,80,16,0,-1,,0,4528389,49306,36006275,239503,5954,0,428688,0,1524224,1143168,3810560,0,0
