# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c85575b88176
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
12382e6de4579ce0,memcpyHtoD,88409.7,88771.1,,,,,,,,,,,0,0,98447360,0
12382e6dea77d540,memset32,1456.48,13.604,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12382e6dea8e1b40,memset32,1458.37,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12382e6deaa468e0,memset32,1458.5,2.633,1,32,4040,1,96,1,1,0,40,4,0,-1,,0,24240,0,533304,0,16160,0,0,0,387840,0,0,0,0
12382e6deabab6e0,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,27375.5,3.511,0.333,189,252,1,16,16,1,4608,64,24,0,-1,,0,1286064,47632,8883392,1008942,5954,0,428688,0,1143168,0,0,0,0
12382e6dec611080,_Z11calculate_ePfjPijj10vcd_paramsi,89639.4,15.36,0.333,189,252,1,16,16,1,4608,64,24,0,-1,,0,4447638,56563,33065570,4417983,5954,0,428688,0,381056,0,0,0,0
