# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c853d6f355fc
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
1237de98e0fbe9a0,memcpyHtoD,88940.7,89948.5,,,,,,,,,,,0,0,98447360,0
1237de98e7245f00,memset32,1458.82,11.41,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,16192,0,0,0,388608,0,0,0,0
1237de98e73aae80,memset32,1460.29,2.633,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,16192,0,0,0,388608,0,0,0,0
1237de98e7510340,memset32,1461.57,2.194,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,16192,0,0,0,388608,0,0,0,0
1237de98e7675d60,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,16792.5,3.072,0.667,189,252,1,16,16,1,3840,64,11,0,-1,,0,5954,3834192,0,0,0,0,0,0,0
