# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1231c853ce0bb0b9
# CUDA_DEVICE 1 GeForce 8800 GTS 512
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,gst_coherent,local_load,local_store,tex_cache_hit,tex_cache_miss
1237dcce671ee060,memcpyHtoD,103351,104119,,,,,,,,,,,0,0,98447360,0
1237dcce6e2e2180,memset32,1458.62,16.676,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,388608,0,0,0,0
1237dcce6e447000,memset32,1460.9,3.072,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,388608,0,0,0,0
1237dcce6e5ac760,memset32,1461.06,2.633,1,32,4048,1,96,1,1,0,40,4,0,-1,,0,24288,0,534360,0,388608,0,0,0,0
1237dcce6e711fc0,_Z20calculate_temp_greenPfjS_S_S_jj10vcd_paramsi,16779.6,3.072,0.667,189,252,1,16,16,1,3840,64,11,0,-1,,0,371840,62232,2777274,0,0,0,0,0,0
